,Days,(coaching) - time spent for each day,(coding) - time spent for each day,(talking) - time spent for each day,(bjj videos) - time spent for each day,(misc) - time spent for each day,(nap) - time spent for each day,(japanese) - time spent for each day,(bjj class) - time spent for each day,(responding) - time spent for each day,(don's paper) - time spent for each day,(work) - time spent for each day,(gym) - time spent for each day,(acro) - time spent for each day,(korean) - time spent for each day, Total time spent on each event,event Names
0,2022-07-02,135.0,150.0,60.0,0,0,0,0,0,0,0,0,0,0,0,585.0,coaching
1,2022-07-03,0,255.0,225.0,45.0,75.0,300.0,15.0,0,0,0,0,0,0,0,6240.0,coding
2,2022-07-04,0,225.0,60.0,45.0,75.0,135.0,45.0,120.0,30.0,75.0,0,0,0,0,2175.0,talking
3,2022-07-05,0,90.0,60.0,30.0,60.0,0,120.0,120.0,0,0,525.0,0,0,0,705.0,bjj videos
4,2022-07-06,0,375.0,60.0,15.0,0,45.0,30.0,0,15.0,0,540.0,120.0,0,0,600.0,misc
5,2022-07-07,0,330.0,15.0,0,30.0,30.0,90.0,90.0,0,0,720.0,0,0,0,1200.0,nap
6,2022-07-08,0,105.0,105.0,30.0,60.0,0,60.0,90.0,0,0,525.0,0,0,0,2250.0,japanese
7,2022-07-09,150.0,135.0,75.0,60.0,15.0,0,30.0,90.0,15.0,0,255.0,120.0,0,0,2520.0,bjj class
8,2022-07-10,0,255.0,210.0,90.0,60.0,120.0,30.0,120.0,45.0,0,0,0,0,0,435.0,responding
9,2022-07-11,0,120.0,90.0,0,0,90.0,90.0,0,0,0,540.0,0,0,0,105.0,don's paper
10,2022-07-12,0,165.0,120.0,30.0,45.0,0,0,135.0,0,0,510.0,0,0,0,14595.0,work
11,2022-07-13,0,105.0,150.0,0,0,0,60.0,0,0,0,495.0,0,165.0,0,855.0,gym
12,2022-07-14,0,90.0,105.0,0,60.0,0,105.0,120.0,0,0,510.0,0,0,0,285.0,acro
13,2022-07-15,0,120.0,0,0,0,0,90.0,0,0,0,525.0,0,0,0,1860.0,korean
14,2022-07-16,0,45.0,0,0,0,0,0,0,0,0,0,0,0,0,,
15,2022-07-17,0,165.0,0,45.0,0,0,0,0,0,0,0,0,0,0,,
16,2022-07-18,0,375.0,90.0,30.0,0,0,90.0,90.0,0,0,510.0,0,0,0,,
17,2022-07-19,0,240.0,0,90.0,45.0,0,30.0,150.0,60.0,0,480.0,0,0,0,,
18,2022-07-20,0,135.0,195.0,0,30.0,0,45.0,0,30.0,0,615.0,0,120.0,0,,
19,2022-07-21,0,90.0,45.0,0,0,0,105.0,120.0,30.0,30.0,495.0,0,0,0,,
20,2022-07-22,0,105.0,60.0,0,0,210.0,30.0,0,30.0,0,405.0,60.0,0,0,,
21,2022-07-23,90.0,165.0,90.0,0,0,60.0,30.0,120.0,0,0,0,90.0,0,75.0,,
22,2022-07-24,0,255.0,90.0,30.0,0,90.0,150.0,75.0,15.0,0,0,0,0,60.0,,
23,2022-07-25,0,150.0,0,0,0,60.0,135.0,0,60.0,0,450.0,0,0,30.0,,
24,2022-07-26,0,450.0,90.0,0,15.0,0,60.0,120.0,0,0,555.0,0,0,30.0,,
25,2022-07-27,0,180.0,0,0,0,0,30.0,0,30.0,0,450.0,0,0,0,,
26,2022-07-28,0,240.0,60.0,30.0,30.0,0,60.0,105.0,0,0,540.0,0,0,45.0,,
27,2022-07-29,0,285.0,45.0,0,0,0,75.0,120.0,45.0,0,435.0,0,0,30.0,,
28,2022-07-30,150.0,75.0,0,0,0,60.0,105.0,90.0,0,0,0,105.0,0,0,,
29,2022-07-31,0,90.0,0,0,0,0,60.0,60.0,0,0,0,0,0,0,,
30,2022-08-01,0,150.0,0,30.0,0,0,135.0,0,0,0,465.0,0,0,0,,
31,2022-08-02,0,120.0,0,60.0,0,0,105.0,90.0,0,0,495.0,0,0,0,,
32,2022-08-03,0,45.0,45.0,0,0,0,45.0,0,30.0,0,570.0,60.0,0,0,,
33,2022-08-04,0,180.0,0,45.0,0,0,60.0,105.0,0,0,495.0,0,0,45.0,,
34,2022-08-08,0,150.0,0,0,0,0,30.0,0,0,0,615.0,75.0,0,75.0,,
35,2022-08-09,0,0,30.0,0,0,0,0,105.0,0,0,495.0,0,0,75.0,,
36,2022-08-10,0,0,0,0,0,0,0,0,0,0,375.0,0,0,90.0,,
37,2022-08-11,0,30.0,0,0,0,0,0,105.0,0,0,510.0,0,0,105.0,,
38,2022-08-12,0,0,0,0,0,0,0,0,0,0,495.0,0,0,150.0,,
39,2022-08-13,0,0,0,0,0,0,0,90.0,0,0,0,0,0,120.0,,
40,2022-08-14,0,0,0,0,0,0,75.0,0,0,0,0,0,0,45.0,,
41,2022-08-15,0,0,0,0,0,0,0,0,0,0,0,0,0,165.0,,
42,2022-08-16,0,0,0,0,0,0,30.0,90.0,0,0,0,0,0,135.0,,
43,2022-08-17,0,0,0,0,0,0,0,0,0,0,0,0,0,165.0,,
44,2022-08-18,0,0,0,0,0,0,0,0,0,0,0,0,0,165.0,,
45,2022-08-19,0,0,0,0,0,0,0,0,0,0,0,0,0,165.0,,
46,2022-08-20,60.0,0,0,0,0,0,0,0,0,0,0,225.0,0,90.0,,
